quarter,month,tokens_burned,burn_rate_percent
1,3,134167.0,0.75
2,6,185417.0,0.75
3,9,249167.0,0.75
4,12,312917.0,0.75
5,15,379292.0,0.75
6,18,445667.0,0.75
7,21,512042.0,0.75
8,24,559667.0,0.75
9,27,590417.0,0.75
10,30,621167.0,0.75
11,33,651917.0,0.75
12,36,682667.0,0.75
